state_name,district_name,market,commodity_group,commodity,unit_of_measure,price_local,currency,price_flag,price_type,data_period_start,data_period_end,latitude,longitude,year,multidimensional_poverty_index,poverty_headcount_ratio,poverty_intensity,vulnerability_rate,severe_poverty_rate,price_to_poverty_ratio,poverty_weighted_price,geo_missing,cluster
delhi,Delhi,Delhi,miscellaneous food,Salt (iodised),KG,18.0,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,5.3662463107056615,0.2412,False,0
delhi,Delhi,Delhi,miscellaneous food,Sugar,100 KG,3401.0,INR,actual,Wholesale,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,1013.9224279283308,45.5734,False,2
delhi,Delhi,Delhi,miscellaneous food,Tea (black),KG,237.93,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,70.93283248367767,3.188262,False,0
delhi,Delhi,Delhi,oil and fats,Oil (groundnut),KG,163.03,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,48.60328533524133,2.184602,False,0
delhi,Delhi,Delhi,oil and fats,Oil (mustard),KG,121.0,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,36.073100199743614,1.6214,False,0
delhi,Delhi,Delhi,pulses and nuts,Chickpeas,KG,76.57,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,22.82741555615181,1.026038,False,0
delhi,Delhi,Delhi,pulses and nuts,Lentils,KG,76.57,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,22.82741555615181,1.026038,False,0
delhi,Delhi,Delhi,pulses and nuts,Lentils (masur),KG,76.93,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,22.93474048236592,1.030862,False,0
delhi,Delhi,Delhi,pulses and nuts,Lentils (urad),KG,86.0,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,25.638732373371493,1.1524,False,0
delhi,Delhi,Delhi,vegetables and fruits,Onions,KG,22.8,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,6.7972453268938375,0.30552,False,0
delhi,Delhi,Delhi,vegetables and fruits,Tomatoes,KG,33.3,INR,actual,Retail,2019-01-15,2019-02-14,28.67,77.22,2019,0.0134,3.3543,39.9122,7.1893,0.489,9.927555674805474,0.44622,False,0
